CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
1100015,23167,499306,28261,165892,26369,123512,155271
1100023,106168,2463773,252260,163121,339667,1034184,674541
1100031,5438,140502,5651,62337,5179,25171,42164
1100049,84813,2180454,225198,212493,222558,971609,548595
1100056,16444,472179,68863,61973,22818,208728,109796
1100064,16227,330428,21385,73479,26195,103454,105915
1100072,7567,320628,10394,212545,9971,30596,57122
1100080,17855,230164,7684,63525,7218,42875,108861
1100098,32047,608398,48925,120026,61347,183339,194761
1100106,45783,836882,114154,46931,29036,361929,284832
1100114,51933,1476627,160753,174427,226575,588767,326104
1100122,127907,3362336,445341,141765,403202,1601590,770438
1100130,39097,642103,31537,190494,46881,130599,242591
1100148,20459,370024,20134,103925,37158,82157,126649
1100155,36340,808667,60402,143562,81960,285328,237414
1100189,36434,1131158,178698,109643,179849,417242,245726
1100205,519531,16647158,2120205,586045,3858082,6664115,3418710
1100254,19409,417601,36159,102278,36862,117093,125209
1100262,3723,106521,3396,54708,7331,11090,29997
1100288,54702,1317091,114387,97068,251482,502744,351411
1100296,6781,146645,5304,51398,13604,26830,49509
1100304,97448,2769483,359365,143682,448423,1171537,646476
1100320,22931,711451,36919,242199,128163,153484,150685
1100338,29757,508702,19574,184590,25151,93541,185847
1100346,14722,256509,10004,78818,11705,57543,98438
1100379,13227,278480,10918,124975,11712,41556,89320
1100403,20999,328751,16736,87597,23590,74888,125940
1100452,38937,680976,46423,176695,37720,182638,237501
1100502,8751,165798,7224,58294,9704,32951,57626
1100601,6190,140630,4042,71272,3359,19522,42435
1100700,14009,280341,7637,129427,22536,26395,94347
1100809,25983,567898,22466,85026,186970,103914,169522
1100908,3119,113027,2755,74886,1787,7508,26091
1100924,10886,301332,14334,105106,51048,52350,78493
1100940,24226,357077,14624,85034,59077,55819,142523
1101005,8095,178780,4930,95115,4781,16793,57162
1101104,10272,180286,7852,43804,25904,35929,66797
1101203,9762,206233,12589,72737,12158,45027,63721
1101302,11080,217967,10020,66365,13164,57705,70713
1101401,15695,283003,12382,90940,22836,56656,100188
1101435,7047,121054,3970,53916,3418,13525,46224
1101450,5947,106590,3159,48291,3259,11117,40764
1101468,2191,104579,3140,63957,3303,11525,22655
1101476,2939,60540,1995,23035,2097,8521,24892
1101484,5280,89556,3195,32792,2305,13417,37848
1101492,19842,352762,17302,128697,16476,68051,122234
1101500,11860,234981,14012,83888,11176,47321,78583
1101559,4384,89304,3215,39114,4002,11644,31329
1101609,10494,191965,5609,92623,5227,17802,70703
1101708,11665,217176,8432,80054,8872,42677,77142
1101757,11028,159963,5146,55622,6265,20487,72443
1101807,6998,150141,5127,75533,3511,17775,48195
1200013,15020,236379,12178,68300,8032,52375,95494
1200054,7300,91486,2983,19444,2747,16089,50224
1200104,25848,417839,34912,68628,30756,119160,164383
1200138,10111,157797,2722,64186,3464,21059,66366
1200179,11456,170403,6470,60821,4004,24939,74169
1200203,87673,1425685,151112,62717,97059,561416,553380
1200252,18122,459388,85417,41244,16861,206328,109539
1200302,34675,364112,14390,57788,11574,70843,209518
1200328,8159,76929,1395,8740,1511,9032,56251
1200336,18638,198112,4471,34246,6637,31164,121594
1200344,9336,125008,6379,19555,13000,23468,62607
1200351,18430,192830,3377,34127,4259,23006,128062
1200385,19565,252906,10095,62504,13589,44845,121874
1200393,11720,112156,2758,13621,2452,15114,78212
1200401,401155,8940823,1277997,149905,802171,4220400,2490351
1200427,18504,184545,2655,35576,4098,20802,121414
1200435,6362,71467,1621,12817,1512,9275,46243
1200450,22810,373185,26975,90656,23043,86974,145538
1200500,45177,518416,20855,96071,21131,113550,266808
1200609,41976,488825,24212,75132,14940,109096,265446
1200708,19048,239114,9092,64690,4085,45657,115589
1200807,18180,233716,7000,70829,6070,35665,114151
1300029,15860,169816,2668,53419,6809,27302,79618
1300060,11332,83091,1288,12892,3306,14318,51287
1300086,13269,116341,1922,35318,4783,18763,55556
1300102,20538,218253,4396,93163,6479,29587,84628
1300144,21583,210012,4318,61282,12163,45064,87185
1300201,19438,142481,2681,21493,3828,20909,93569
1300300,38830,357098,11916,83214,17580,70991,173397
1300409,27364,168178,3919,11396,7987,33508,111369
1300508,31593,258823,6561,45192,9695,45963,151412
1300607,42020,308682,10230,33437,17060,64150,183804
1300631,19258,151535,3206,18303,6551,28745,94729
1300680,18781,139703,3116,16228,5656,26982,87722
1300706,33976,416148,22411,89755,54587,103129,146266
1300805,40565,303714,9437,36506,12083,63705,181983
1300839,12877,156312,2438,62720,5698,22912,62545
1300904,15450,107613,3316,14099,3870,20099,66229
1301001,28076,306340,12263,83422,19557,73777,117321
1301100,37384,314585,11977,60845,25353,62189,154220
1301159,29595,337266,3678,178803,9350,29117,116318
1301209,84272,2015916,77102,140484,955793,441067,401469
1301308,28100,500695,5676,325036,14533,41548,113902
1301407,34840,517544,8377,268620,16884,68845,154819
1301506,19668,157496,2191,38639,6023,26998,83645
1301605,18221,180920,6561,25020,8908,40370,100063
1301654,16416,123592,3693,19216,4644,23267,72771
1301704,54001,622149,38037,140117,40583,192778,210634
1301803,28933,152286,2470,12159,4575,22587,110494
1301852,47571,679140,30001,178626,86802,159119,224591
1301902,99955,1881004,107905,463450,119702,752383,437562
1301951,7888,95164,2848,26638,4047,17709,43924
1302009,9064,109917,3569,34516,4482,21894,45456
1302108,3265,62832,1352,16211,2630,11516,31124
1302207,14312,103844,2386,19758,4523,16507,60670
1302306,14753,224218,5272,79095,9673,43307,86871
1302405,45245,495068,17457,194152,17823,90890,174746
1302504,96236,1428130,44595,577015,113871,303777,388872
1302553,31147,275153,5887,101612,9498,35577,122579
1302603,2145444,78192321,14962349,209000,26426370,27665796,8928806
1302702,54907,528955,18893,143253,36119,111303,219386
1302801,18186,128444,2273,16982,4040,16926,88223
1302900,62755,501299,24869,54976,25869,123038,272547
1303007,20899,151529,4842,20278,6729,33083,86598
1303106,36721,246712,7673,27505,10807,46154,154572
1303205,18974,136020,4511,10874,7115,33384,80136
1303304,25237,199378,5412,45834,13543,33821,100768
1303403,113168,1119341,46871,264721,62545,287965,457237
1303502,19329,156937,3169,34569,5270,26627,87302
1303536,35352,822429,25016,102093,324038,151527,219754
1303569,32577,383425,16816,132666,37562,69970,126410
1303601,24436,137548,2806,15483,3828,19572,95859
1303700,21966,181268,5250,36470,5994,29787,103768
